annotator,behavior,n_bouts,mean_bout_duration_s,median_bout_duration_s,mean_bout_rate_per_min
annotator1,attack,231,2.3428101293350574,1.5166666666666666,2.3482358768510565
annotator1,investigation,1603,2.0041389483416436,0.95,7.03240299337685
annotator1,mount,234,7.584541226747109,3.8666666666666667,1.3979955228037393
annotator1,other,1390,6.380059594332485,3.15,6.1864732967350164
annotator2,attack,230,1.6317873251169976,1.1666666666666667,2.7294798818436825
annotator2,investigation,913,2.644359236517415,1.2166666666666668,5.797733335629368
annotator2,mount,102,1.5936928104575163,1.25,1.1285370788325968
annotator2,other,985,6.917779833641067,2.5166666666666666,6.233999878448947
annotator3,attack,191,2.285598296440402,1.5333333333333334,3.5022042751365445
annotator3,investigation,301,3.49542912401197,3.0,3.062829967091486
annotator3,mount,101,8.723133195307108,1.2666666666666666,2.0489168810328118
annotator3,other,478,9.562765920675396,3.466666666666667,4.786278051772098
annotator4,attack,164,7.075741758241759,5.533333333333333,1.5063684525469951
annotator4,investigation,432,4.238955965357694,2.4166666666666665,2.1854846022483922
annotator4,mount,99,15.041912369886226,3.9,1.0569075344992482
annotator4,other,627,14.203506868556866,5.733333333333333,3.1570792607557725
annotator5,attack,469,1.1718586772528983,0.7333333333333334,3.319703732296314
annotator5,investigation,1714,2.093718584797418,0.9333333333333333,6.726368710561998
annotator5,mount,31,1.2140972222222222,1.2416666666666667,0.46327377273484516
annotator5,other,1794,6.551177837700304,2.666666666666667,7.018491349308483
