behavior,n_bouts,mean_bout_duration_s,median_bout_duration_s,total_duration_s,bout_rate_per_min,sex_group,split,mouse,record_key,annotator,file
investigation,127,2.094488188976378,0.7666666666666667,266.0,8.436358268443001,Female_likely,test,013,Female_likely__test__mouse013,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse013/Manual_Scoring_annotator1.csv
mount,20,4.49,1.1666666666666665,89.8,1.3285603572351183,Female_likely,test,013,Female_likely__test__mouse013,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse013/Manual_Scoring_annotator1.csv
other,110,4.9766666666666675,3.583333333333333,547.4333333333334,7.30708196479315,Female_likely,test,013,Female_likely__test__mouse013,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse013/Manual_Scoring_annotator1.csv
investigation,99,1.7454545454545456,0.8,172.8,6.103784894673745,Female_likely,test,015,Female_likely__test__mouse015,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse015/Manual_Scoring_annotator1.csv
mount,40,8.449166666666667,5.283333333333333,337.9666666666667,2.4661757150196952,Female_likely,test,015,Female_likely__test__mouse015,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse015/Manual_Scoring_annotator1.csv
other,76,6.084210526315789,4.016666666666667,462.4,4.685733858537421,Female_likely,test,015,Female_likely__test__mouse015,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse015/Manual_Scoring_annotator1.csv
investigation,75,3.132888888888889,1.3333333333333333,234.96666666666667,5.0423934560938255,Female_likely,test,016,Female_likely__test__mouse016,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse016/Manual_Scoring_annotator1.csv
mount,21,4.2555555555555555,3.8666666666666667,89.36666666666666,1.4118701677062713,Female_likely,test,016,Female_likely__test__mouse016,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse016/Manual_Scoring_annotator1.csv
other,59,9.628813559322035,5.766666666666667,568.1,3.966682852127143,Female_likely,test,016,Female_likely__test__mouse016,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse016/Manual_Scoring_annotator1.csv
investigation,90,1.7133333333333332,0.8,154.2,6.1056043417630885,Female_likely,test,017,Female_likely__test__mouse017,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse017/Manual_Scoring_annotator1.csv
mount,34,6.326470588235294,2.3666666666666667,215.1,2.306561640221611,Female_likely,test,017,Female_likely__test__mouse017,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse017/Manual_Scoring_annotator1.csv
other,67,7.688557213930348,3.466666666666667,515.1333333333333,4.54528323220141,Female_likely,test,017,Female_likely__test__mouse017,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse017/Manual_Scoring_annotator1.csv
investigation,93,1.6383512544802867,0.9666666666666667,152.36666666666667,6.253268584236085,Female_likely,test,018,Female_likely__test__mouse018,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse018/Manual_Scoring_annotator1.csv
mount,26,9.17051282051282,7.4,238.43333333333334,1.7482256257004107,Female_likely,test,018,Female_likely__test__mouse018,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse018/Manual_Scoring_annotator1.csv
other,71,7.063849765258216,2.2333333333333334,501.53333333333336,4.774000747104968,Female_likely,test,018,Female_likely__test__mouse018,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse018/Manual_Scoring_annotator1.csv
investigation,83,1.7012048192771083,1.1666666666666667,141.2,5.695985359716345,Female_likely,test,019,Female_likely__test__mouse019,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse019/Manual_Scoring_annotator1.csv
mount,24,9.963888888888889,6.833333333333334,239.13333333333333,1.6470319112432805,Female_likely,test,019,Female_likely__test__mouse019,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse019/Manual_Scoring_annotator1.csv
other,67,7.372636815920398,5.033333333333333,493.96666666666664,4.597964085554158,Female_likely,test,019,Female_likely__test__mouse019,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse019/Manual_Scoring_annotator1.csv
investigation,67,2.2318407960199003,1.0666666666666667,149.53333333333333,4.391682750081934,Female_likely,train,003,Female_likely__train__mouse003,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse003/Manual_Scoring_annotator1.csv
mount,24,10.191666666666666,2.4166666666666665,244.6,1.5731400895815884,Female_likely,train,003,Female_likely__train__mouse003,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse003/Manual_Scoring_annotator1.csv
other,55,9.476969696969697,4.8,521.2333333333333,3.60511270529114,Female_likely,train,003,Female_likely__train__mouse003,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse003/Manual_Scoring_annotator1.csv
investigation,95,1.8305263157894738,0.9,173.9,5.470599526521211,Female_likely,train,004,Female_likely__train__mouse004,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse004/Manual_Scoring_annotator1.csv
mount,16,20.275000000000002,22.083333333333336,324.40000000000003,0.9213641307825197,Female_likely,train,004,Female_likely__train__mouse004,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse004/Manual_Scoring_annotator1.csv
other,88,6.177651515151515,3.4833333333333334,543.6333333333333,5.067502719303858,Female_likely,train,004,Female_likely__train__mouse004,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse004/Manual_Scoring_annotator1.csv
investigation,83,1.3751004016064259,0.9666666666666667,114.13333333333334,5.294117647058823,Female_likely,train,014,Female_likely__train__mouse014,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse014/Manual_Scoring_annotator1.csv
mount,26,7.007692307692308,3.9166666666666665,182.2,1.6583982990786676,Female_likely,train,014,Female_likely__train__mouse014,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse014/Manual_Scoring_annotator1.csv
other,67,9.616915422885572,7.5,644.3333333333334,4.2735648476257975,Female_likely,train,014,Female_likely__train__mouse014,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse014/Manual_Scoring_annotator1.csv
investigation,40,1.9125,1.2,76.5,5.301133853629804,Female_likely,test,012,Female_likely__test__mouse012,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_test_mouse012/Manual_Scoring_annotator2.csv
mount,6,3.6777777777777776,3.4833333333333334,22.066666666666666,0.7951700780444706,Female_likely,test,012,Female_likely__test__mouse012,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_test_mouse012/Manual_Scoring_annotator2.csv
other,42,8.432539682539684,3.3166666666666664,354.1666666666667,5.566190546311295,Female_likely,test,012,Female_likely__test__mouse012,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_test_mouse012/Manual_Scoring_annotator2.csv
investigation,57,2.610526315789474,1.3333333333333333,148.8,5.442682085830991,Female_likely,train,002,Female_likely__train__mouse002,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse002/Manual_Scoring_annotator2.csv
mount,10,1.6866666666666668,2.033333333333333,16.866666666666667,0.9548565062861387,Female_likely,train,002,Female_likely__train__mouse002,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse002/Manual_Scoring_annotator2.csv
other,58,7.977586206896552,5.183333333333334,462.7,5.538167736459605,Female_likely,train,002,Female_likely__train__mouse002,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse002/Manual_Scoring_annotator2.csv
investigation,69,1.921256038647343,1.2333333333333334,132.56666666666666,7.530010913059296,Female_likely,train,003,Female_likely__train__mouse003,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse003/Manual_Scoring_annotator2.csv
mount,29,2.4298850574712643,1.6333333333333333,70.46666666666667,3.1647871953437616,Female_likely,train,003,Female_likely__train__mouse003,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse003/Manual_Scoring_annotator2.csv
other,76,4.5627192982456135,1.5333333333333334,346.76666666666665,8.293925063659513,Female_likely,train,003,Female_likely__train__mouse003,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse003/Manual_Scoring_annotator2.csv
investigation,81,2.863374485596708,1.3,231.93333333333334,6.094298612272195,Female_likely,train,011,Female_likely__train__mouse011,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse011/Manual_Scoring_annotator2.csv
mount,29,1.3701149425287356,1.3333333333333333,39.733333333333334,2.1819093797023905,Female_likely,train,011,Female_likely__train__mouse011,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse011/Manual_Scoring_annotator2.csv
other,86,6.1139534883720925,2.8833333333333333,525.8,6.470489884634676,Female_likely,train,011,Female_likely__train__mouse011,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse011/Manual_Scoring_annotator2.csv
investigation,49,2.1006802721088436,1.1333333333333333,102.93333333333334,4.5682912933133055,Female_likely,test,008,Female_likely__test__mouse008,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator3.csv
mount,30,2.3144444444444447,1.1,69.43333333333334,2.7969130367224317,Female_likely,test,008,Female_likely__test__mouse008,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator3.csv
other,49,9.616326530612245,8.833333333333334,471.2,4.5682912933133055,Female_likely,test,008,Female_likely__test__mouse008,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator3.csv
investigation,45,2.4896296296296296,1.6,112.03333333333333,4.195369555083648,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator4.csv
mount,16,3.5833333333333335,2.1666666666666665,57.333333333333336,1.4916869529186303,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator4.csv
other,46,10.308695652173913,8.066666666666666,474.2,4.288599989641062,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator4.csv
investigation,46,4.780434782608696,3.0,219.9,4.216315307057745,Female_likely,test,010,Female_likely__test__mouse010,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator3.csv
mount,6,28.616666666666664,5.566666666666666,171.7,0.5499541704857929,Female_likely,test,010,Female_likely__test__mouse010,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator3.csv
other,47,5.595744680851064,3.466666666666667,263.0,4.307974335472044,Female_likely,test,010,Female_likely__test__mouse010,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator3.csv
investigation,38,6.010526315789474,3.666666666666667,228.4,3.4830430797433545,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator4.csv
mount,5,33.49333333333333,8.133333333333333,167.46666666666667,0.458295142071494,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator4.csv
other,38,6.8087719298245615,5.233333333333333,258.73333333333335,3.4830430797433545,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator4.csv
investigation,37,4.003603603603604,1.7333333333333334,148.13333333333333,2.7416433393709863,Female_likely,train,001,Female_likely__train__mouse001,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator3.csv
mount,23,4.179710144927536,3.3666666666666667,96.13333333333333,1.7042647785279104,Female_likely,train,001,Female_likely__train__mouse001,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator3.csv
other,42,13.463492063492064,9.149999999999999,565.4666666666667,3.1121356825292277,Female_likely,train,001,Female_likely__train__mouse001,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator3.csv
investigation,31,4.596774193548387,1.9,142.5,2.2970525275810965,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator4.csv
mount,17,5.354901960784313,3.9,91.03333333333333,1.2596739667380206,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator4.csv
other,41,14.053658536585367,9.9,576.2,3.0380372138975793,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator4.csv
investigation,17,4.519607843137256,3.2,76.83333333333334,4.607739798223159,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator3.csv
mount,15,1.728888888888889,1.2666666666666666,25.933333333333334,4.065652763138082,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator3.csv
other,25,4.744,3.033333333333333,118.6,6.776087938563469,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator3.csv
investigation,10,9.389999999999999,4.75,93.89999999999999,2.7104351754253875,Female_likely,train,005,Female_likely__train__mouse005,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator4.csv
mount,5,2.506666666666667,2.4,12.533333333333333,1.3552175877126937,Female_likely,train,005,Female_likely__train__mouse005,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator4.csv
other,15,7.662222222222223,4.233333333333333,114.93333333333334,4.065652763138082,Female_likely,train,005,Female_likely__train__mouse005,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator4.csv
investigation,35,4.058095238095238,3.066666666666667,142.03333333333333,3.3787407486860457,Female_likely,train,007,Female_likely__train__mouse007,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator3.csv
