annotator,behavior,n_frames,fraction_within_annotator
annotator1,attack,14450,0.03392560314792033
annotator1,investigation,96424,0.22638355418235775
annotator1,mount,58965,0.13843759097696345
annotator1,other,256093,0.6012532516927585
annotator2,attack,11326,0.03952649175339043
annotator2,investigation,74719,0.26076107516524627
annotator2,mount,5328,0.01859413279728626
annotator2,other,195169,0.681118300284077
annotator3,attack,12752,0.06671549649471592
annotator3,investigation,32915,0.17220362038296536
annotator3,mount,18222,0.09533326357643612
annotator3,other,127251,0.6657476195458826
annotator4,attack,36442,0.100569328038371
annotator4,investigation,59039,0.16293048016182934
annotator4,mount,32288,0.0891054954092235
annotator4,other,234588,0.6473946963905761
annotator5,attack,14281,0.0312912202283135
annotator5,investigation,106234,0.23277021845351564
annotator5,mount,1479,0.003240649444554
annotator5,other,334396,0.7326979118736169
