behavior,n_frames,fraction,sex_group,split,mouse,record_key,annotator,file
other,16423,0.6060818540797874,Female_likely,test,013,Female_likely__test__mouse013,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse013/Manual_Scoring_annotator1.csv
investigation,7980,0.29449754585378457,Female_likely,test,013,Female_likely__test__mouse013,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse013/Manual_Scoring_annotator1.csv
mount,2694,0.09942060006642801,Female_likely,test,013,Female_likely__test__mouse013,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse013/Manual_Scoring_annotator1.csv
other,13872,0.4751498544271279,Female_likely,test,015,Female_likely__test__mouse015,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse015/Manual_Scoring_annotator1.csv
mount,10139,0.34728549409145404,Female_likely,test,015,Female_likely__test__mouse015,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse015/Manual_Scoring_annotator1.csv
investigation,5184,0.17756465148141806,Female_likely,test,015,Female_likely__test__mouse015,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse015/Manual_Scoring_annotator1.csv
other,17043,0.6365741605348673,Female_likely,test,016,Female_likely__test__mouse016,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse016/Manual_Scoring_annotator1.csv
investigation,7049,0.26328764053337317,Female_likely,test,016,Female_likely__test__mouse016,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse016/Manual_Scoring_annotator1.csv
mount,2681,0.10013819893175961,Female_likely,test,016,Female_likely__test__mouse016,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse016/Manual_Scoring_annotator1.csv
other,15454,0.5824445030716466,Female_likely,test,017,Female_likely__test__mouse017,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse017/Manual_Scoring_annotator1.csv
mount,6453,0.24320657294689632,Female_likely,test,017,Female_likely__test__mouse017,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse017/Manual_Scoring_annotator1.csv
investigation,4626,0.17434892398145704,Female_likely,test,017,Female_likely__test__mouse017,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse017/Manual_Scoring_annotator1.csv
other,15046,0.5620470676129996,Female_likely,test,018,Female_likely__test__mouse018,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse018/Manual_Scoring_annotator1.csv
mount,7153,0.2672020918939111,Female_likely,test,018,Female_likely__test__mouse018,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse018/Manual_Scoring_annotator1.csv
investigation,4571,0.17075084049308928,Female_likely,test,018,Female_likely__test__mouse018,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse018/Manual_Scoring_annotator1.csv
other,14819,0.5649853215906058,Female_likely,test,019,Female_likely__test__mouse019,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse019/Manual_Scoring_annotator1.csv
mount,7174,0.27351404933470586,Female_likely,test,019,Female_likely__test__mouse019,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse019/Manual_Scoring_annotator1.csv
investigation,4236,0.16150062907468832,Female_likely,test,019,Female_likely__test__mouse019,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse019/Manual_Scoring_annotator1.csv
other,15637,0.569425731036743,Female_likely,train,003,Female_likely__train__mouse003,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse003/Manual_Scoring_annotator1.csv
mount,7338,0.26721532354976146,Female_likely,train,003,Female_likely__train__mouse003,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse003/Manual_Scoring_annotator1.csv
investigation,4486,0.1633589454134955,Female_likely,train,003,Female_likely__train__mouse003,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse003/Manual_Scoring_annotator1.csv
other,16309,0.5217544308656984,Female_likely,train,004,Female_likely__train__mouse004,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse004/Manual_Scoring_annotator1.csv
mount,9732,0.3113442958602598,Female_likely,train,004,Female_likely__train__mouse004,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse004/Manual_Scoring_annotator1.csv
investigation,5217,0.16690127327404183,Female_likely,train,004,Female_likely__train__mouse004,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse004/Manual_Scoring_annotator1.csv
other,19330,0.684975194897236,Female_likely,train,014,Female_likely__train__mouse014,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse014/Manual_Scoring_annotator1.csv
mount,5466,0.19369241672572643,Female_likely,train,014,Female_likely__train__mouse014,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse014/Manual_Scoring_annotator1.csv
investigation,3424,0.12133238837703757,Female_likely,train,014,Female_likely__train__mouse014,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse014/Manual_Scoring_annotator1.csv
