path,sex_group,split,mouse,record_key,folder_annotator,file_annotator,annotator,n_frames,n_behaviors,behaviors,onehot_min_sum,onehot_max_sum,onehot_mean_sum,parse_format
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse013/Manual_Scoring_annotator1.csv,Female_likely,test,013,Female_likely__test__mouse013,1,1,annotator1,27097,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse015/Manual_Scoring_annotator1.csv,Female_likely,test,015,Female_likely__test__mouse015,1,1,annotator1,29195,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse016/Manual_Scoring_annotator1.csv,Female_likely,test,016,Female_likely__test__mouse016,1,1,annotator1,26773,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse017/Manual_Scoring_annotator1.csv,Female_likely,test,017,Female_likely__test__mouse017,1,1,annotator1,26533,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse018/Manual_Scoring_annotator1.csv,Female_likely,test,018,Female_likely__test__mouse018,1,1,annotator1,26770,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_test_mouse019/Manual_Scoring_annotator1.csv,Female_likely,test,019,Female_likely__test__mouse019,1,1,annotator1,26229,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse003/Manual_Scoring_annotator1.csv,Female_likely,train,003,Female_likely__train__mouse003,1,1,annotator1,27461,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse004/Manual_Scoring_annotator1.csv,Female_likely,train,004,Female_likely__train__mouse004,1,1,annotator1,31258,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator1_train_mouse014/Manual_Scoring_annotator1.csv,Female_likely,train,014,Female_likely__train__mouse014,1,1,annotator1,28220,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_test_mouse012/Manual_Scoring_annotator2.csv,Female_likely,test,012,Female_likely__test__mouse012,2,2,annotator2,13582,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse002/Manual_Scoring_annotator2.csv,Female_likely,train,002,Female_likely__train__mouse002,2,2,annotator2,18851,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse003/Manual_Scoring_annotator2.csv,Female_likely,train,003,Female_likely__train__mouse003,2,2,annotator2,16494,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse011/Manual_Scoring_annotator2.csv,Female_likely,train,011,Female_likely__train__mouse011,2,2,annotator2,23924,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator3.csv,Female_likely,test,008,Female_likely__test__mouse008,3,3,annotator3,19307,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator4.csv,Female_likely,test,008,Female_likely__test__mouse008,3,4,annotator4,19307,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator3.csv,Female_likely,test,010,Female_likely__test__mouse010,3,3,annotator3,19638,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator4.csv,Female_likely,test,010,Female_likely__test__mouse010,3,4,annotator4,19638,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator3.csv,Female_likely,train,001,Female_likely__train__mouse001,3,3,annotator3,24292,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator4.csv,Female_likely,train,001,Female_likely__train__mouse001,3,4,annotator4,24292,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator3.csv,Female_likely,train,005,Female_likely__train__mouse005,3,3,annotator3,6641,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator4.csv,Female_likely,train,005,Female_likely__train__mouse005,3,4,annotator4,6641,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator3.csv,Female_likely,train,007,Female_likely__train__mouse007,3,3,annotator3,18646,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator4.csv,Female_likely,train,007,Female_likely__train__mouse007,3,4,annotator4,18646,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse008/Manual_Scoring_annotator4.csv,Female_likely,test,008,Female_likely__test__mouse008,4,4,annotator4,19307,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse010/Manual_Scoring_annotator4.csv,Female_likely,test,010,Female_likely__test__mouse010,4,4,annotator4,19638,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse001/Manual_Scoring_annotator4.csv,Female_likely,train,001,Female_likely__train__mouse001,4,4,annotator4,24292,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse005/Manual_Scoring_annotator3.csv,Female_likely,train,005,Female_likely__train__mouse005,4,3,annotator3,6641,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse007/Manual_Scoring_annotator4.csv,Female_likely,train,007,Female_likely__train__mouse007,4,4,annotator4,18646,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_test_mouse021/Manual_Scoring_annotator5.csv,Female_likely,test,021,Female_likely__test__mouse021,5,5,annotator5,18337,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse002/Manual_Scoring_annotator5.csv,Female_likely,train,002,Female_likely__train__mouse002,5,5,annotator5,17948,4,attack|investigation|mount|other,1.0,1.0,1.0,"{'header': [0, 1]}"
