record_key,sex_group,split,mouse,annotator_a,annotator_b,n_frames_compared,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,mcc,adjusted_rand,normalized_mutual_info
Female_likely__train__mouse003,Female_likely,train,mouse003,annotator1,annotator2,16494,0.4039044501030678,0.36370697363392424,0.33802458534792285,0.36444119121130614,0.04193096288459075,0.04464791973783397,0.02276819194555807,0.014850608014396607
Female_likely__train__mouse002,Female_likely,train,mouse002,annotator2,annotator5,17948,0.6485959438377535,0.46320573399027837,0.44812535273511706,0.6644548529847005,0.23448578043486457,0.24110240466235147,0.11181267870738362,0.04853631089294546
Female_likely__test__mouse008,Female_likely,test,mouse008,annotator3,annotator4,19307,0.9218936137152328,0.8554400063036098,0.86701586422364,0.9218891482084861,0.8153775601183475,0.8159675246436876,0.7812561092828942,0.6216484732111585
Female_likely__test__mouse010,Female_likely,test,mouse010,annotator3,annotator4,19638,0.9395050412465628,0.9432460674751687,0.9439153932743669,0.9397799943929638,0.9079060301034081,0.9080808796737051,0.818360832217306,0.7883136259795048
Female_likely__train__mouse001,Female_likely,train,mouse001,annotator3,annotator4,24292,0.9055656183105549,0.8502663061191004,0.859721772209907,0.9047376175334692,0.7935982282067418,0.7939300761139455,0.7235080573359697,0.5660896946301407
Female_likely__train__mouse005,Female_likely,train,mouse005,annotator3,annotator4,6641,0.8601114290016564,0.759471277243417,0.782293537442412,0.8520281416845269,0.7537049909490066,0.7606167360168221,0.6320024568014917,0.5210765684680227
Female_likely__train__mouse007,Female_likely,train,mouse007,annotator3,annotator4,18646,0.9312453073045157,0.9267862169530033,0.9247171849118767,0.9314988785507446,0.8940458810036451,0.8941282882847944,0.8170611518129011,0.7616072795455856
Male_likely__test__mouse006,Male_likely,test,mouse006,annotator1,annotator2,17498,0.6587610012572865,0.3338242716542457,0.2953753687465264,0.5648084965716536,0.024698291682487716,0.036509544214701324,0.022513640260264475,0.010687621851189478
Male_likely__test__mouse008,Male_likely,test,mouse008,annotator1,annotator2,17361,0.48804792350671045,0.27617755847504455,0.25609905852847725,0.474704253036334,0.08304890417753097,0.08731990074915223,0.004447900552417427,0.018637717874306518
Male_likely__test__mouse009,Male_likely,test,mouse009,annotator1,annotator2,16906,0.4000354903584526,0.27613723770658244,0.21654659274872562,0.3139099015266101,0.014933460645479846,0.022100223833915553,0.015872691364128694,0.00637047901196171
