annotator_a,annotator_b,n_shared_records,total_frames_compared,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,cohen_kappa_mean,mcc_mean,ari_mean,nmi_mean
annotator1,annotator2,4,68259,0.48768721630637935,0.31246151036744924,0.276511401342913,0.04115290484752232,0.04764439713390077,0.016400606030592166,0.012636606687963578
annotator1,annotator3,2,34321,0.5017428673431267,0.32054712648889083,0.23179617141136183,0.06609435639587069,0.08260648556630754,0.042100687050327205,0.020874023150232405
annotator1,annotator4,2,34321,0.49516523429835246,0.34055738882109887,0.28504299003969186,0.09216026233182772,0.11230432838048302,0.057599972775192194,0.02961982560335087
annotator1,annotator5,3,52558,0.6003445083446407,0.3684689593392963,0.34021537340417357,0.07810040061929784,0.08943830720518542,0.03695601922863526,0.017846391298444824
annotator2,annotator3,2,39588,0.6586969938451721,0.2634107228566701,0.25461444362112623,0.03787087714198434,0.04086487903680101,0.03426408877277211,0.007211209346478847
annotator2,annotator4,2,39588,0.6471018556451043,0.2716518120429082,0.2526194200703459,0.05673460666370361,0.0607848956685634,0.04968041886744689,0.010056330057053928
annotator2,annotator5,3,54170,0.5401936189531065,0.37892541027310095,0.31364853737028514,0.05092078239146421,0.03895360287181877,0.07522992420699412,0.02669024156949623
annotator3,annotator4,10,184499,0.8958566989806739,0.779687045308447,0.7774766829752451,0.765769051186635,0.7706025774076513,0.6940357217701745,0.5648517668764683
annotator3,annotator5,1,17935,0.5403401170894898,0.2960594368558706,0.27771169109888555,-0.07079309797097944,-0.07697747968192092,-0.0007328657397576199,0.020972180132778597
annotator4,annotator5,1,17935,0.512684694730973,0.30490225401088517,0.27993085058302447,-0.04702187372175537,-0.05382071898628711,0.01324049368178369,0.02189183262023253
