annotator,behavior,n_positive_frames,total_frames,fraction_within_annotator
annotator1,aggressivemount,14,227288,6.159586075815705e-05
annotator1,attack,15145,227288,0.06663352222730633
annotator1,mount,20346,227288,0.08951638449896167
annotator1,sniff,49990,227288,0.21994121995001936
annotator2,attack,17015,227288,0.07486096934286016
annotator2,mount,20894,227288,0.09192742247720953
annotator2,sniff,47833,227288,0.2104510576889233
annotator3,attack,14597,227288,0.06422248424905846
annotator3,mount,19489,227288,0.08574583787969449
annotator3,sniff,42148,227288,0.18543873851677167
annotator4,attack,17422,227288,0.07665164900918658
annotator4,mount,21108,227288,0.09286895920594136
annotator4,sniff,44154,227288,0.1942645454225476
annotator5,attack,13816,227288,0.060786315159621275
annotator5,mount,20181,227288,0.08879043328288339
annotator5,sniff,45286,227288,0.1992450107352786
annotator6,attack,14865,227288,0.06540160501214319
annotator6,mount,20535,227288,0.09034792861919679
annotator6,sniff,50969,227288,0.2242485304987505
annotator7,attack,21208,227288,0.09330892963992819
annotator7,mount,19103,227288,0.0840475520045053
annotator7,sniff,38217,227288,0.16814350075674914
annotator8,attack,14547,227288,0.06400249903206505
annotator8,mount,20122,227288,0.08853085072683116
annotator8,sniff,38535,227288,0.16954260673682728
