annotator,behavior,n_bouts,mean_bout_duration_frames,median_bout_duration_frames,mean_bout_duration_s,median_bout_duration_s
annotator1,aggressivemount,1,14.0,14.0,0.4666666666666667,0.4666666666666667
annotator1,attack,280,54.089285714285715,39.5,1.8029761904761905,1.3166666666666667
annotator1,mount,127,160.20472440944883,61.0,5.340157480314961,2.033333333333333
annotator1,sniff,924,54.1017316017316,24.0,1.8033910533910533,0.8
annotator2,attack,252,67.51984126984127,47.5,2.2506613756613754,1.5833333333333335
annotator2,mount,128,163.234375,62.5,5.441145833333334,2.0833333333333335
annotator2,sniff,869,55.04372842347526,24.0,1.8347909474491753,0.8
annotator3,attack,281,51.94661921708185,38.0,1.7315539739027284,1.2666666666666666
annotator3,mount,142,137.24647887323943,43.0,4.574882629107981,1.4333333333333333
annotator3,sniff,939,44.88604898828541,18.0,1.4962016329428471,0.6
annotator4,attack,273,63.81684981684982,45.0,2.127228327228327,1.5
annotator4,mount,154,137.06493506493507,42.5,4.568831168831169,1.4166666666666665
annotator4,sniff,864,51.104166666666664,20.0,1.7034722222222223,0.6666666666666666
annotator5,attack,365,37.85205479452055,26.0,1.2617351598173516,0.8666666666666667
annotator5,mount,126,160.16666666666666,55.5,5.3388888888888895,1.85
annotator5,sniff,1083,41.81532779316713,19.0,1.3938442597722376,0.6333333333333333
annotator6,attack,331,44.909365558912384,27.0,1.4969788519637461,0.9
annotator6,mount,129,159.1860465116279,61.0,5.3062015503875966,2.033333333333333
annotator6,sniff,940,54.22234042553192,22.0,1.8074113475177305,0.7333333333333333
annotator7,attack,87,243.77011494252875,162.0,8.125670498084292,5.4
annotator7,mount,73,261.6849315068493,110.0,8.72283105022831,3.6666666666666665
annotator7,sniff,270,141.54444444444445,76.5,4.718148148148148,2.55
annotator8,attack,208,69.9375,50.0,2.33125,1.6666666666666667
annotator8,mount,108,186.3148148148148,69.0,6.210493827160494,2.3
annotator8,sniff,376,102.48670212765957,60.0,3.416223404255319,2.0
