annotator,behavior,n_frames,fraction_within_annotator
annotator1,aggressivemount,14,6.159586075815705e-05
annotator1,attack,15145,0.06663352222730633
annotator1,mount,20346,0.08951638449896167
annotator1,other,141793,0.6238472774629545
annotator1,sniff,49990,0.21994121995001936
annotator2,attack,17014,0.07485656963852029
annotator2,attack+sniff,1,4.3997043398683606e-06
annotator2,mount,20894,0.09192742247720953
annotator2,other,141547,0.6227649501953468
annotator2,sniff,47832,0.21044665798458342
annotator3,attack,14597,0.06422248424905846
annotator3,mount,19489,0.08574583787969449
annotator3,other,151054,0.6645929393544754
annotator3,sniff,42148,0.18543873851677167
annotator4,attack,17422,0.07665164900918658
annotator4,mount,21108,0.09286895920594136
annotator4,other,144604,0.6362148463623245
annotator4,sniff,44154,0.1942645454225476
annotator5,attack,13808,0.06075111752490232
annotator5,attack+sniff,8,3.5197634718946884e-05
annotator5,mount,20181,0.08879043328288339
annotator5,other,148013,0.6512134384569357
annotator5,sniff,45278,0.19920981310055963
annotator6,attack,14859,0.06537520678610398
annotator6,attack+sniff,6,2.6398226039210167e-05
annotator6,mount,20525,0.09030393157579811
annotator6,mount+sniff,10,4.3997043398683606e-05
annotator6,other,140935,0.6200723311393475
annotator6,sniff,50953,0.2241781352293126
annotator7,attack,21208,0.09330892963992819
annotator7,mount,19103,0.0840475520045053
annotator7,other,148760,0.6545000175988174
annotator7,sniff,38217,0.16814350075674914
annotator8,attack,14547,0.06400249903206505
annotator8,mount,20122,0.08853085072683116
annotator8,other,154084,0.6779240435042765
annotator8,sniff,38535,0.16954260673682728
