relative_path,record_key,sex_group,mouse_record,annotator,version,n_frames,behavior_columns
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi1_v1.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator1,v1,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi1_v2.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator1,v2,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi2_v1.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator2,v1,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi2_v2.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator2,v2,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi3_v1.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator3,v1,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi3_v2.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator3,v2,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi4_v1.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator4,v1,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi4_v2.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator4,v2,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi5_v1.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator5,v1,24292,attack|mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi5_v2.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator5,v2,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi6_v1.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator6,v1,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi6_v2.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator6,v2,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi7_v1.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator7,v1,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi7_v2.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator7,v2,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi8_v1.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator8,v1,24292,mount|sniff
Female_likely/Mouse060_20160526_18-16-27/Manual_Scoring_annotator_multi8_v2.csv,Female_likely/Mouse060_20160526_18-16-27,Female_likely,Mouse060_20160526_18-16-27,annotator8,v2,24292,mount|sniff
Female_likely/Mouse061_20160526_18-38-49/Manual_Scoring_annotator_multi1_v1.csv,Female_likely/Mouse061_20160526_18-38-49,Female_likely,Mouse061_20160526_18-38-49,annotator1,v1,18646,mount|sniff
Female_likely/Mouse061_20160526_18-38-49/Manual_Scoring_annotator_multi2_v1.csv,Female_likely/Mouse061_20160526_18-38-49,Female_likely,Mouse061_20160526_18-38-49,annotator2,v1,18646,mount|sniff
Female_likely/Mouse061_20160526_18-38-49/Manual_Scoring_annotator_multi3_v1.csv,Female_likely/Mouse061_20160526_18-38-49,Female_likely,Mouse061_20160526_18-38-49,annotator3,v1,18646,mount|sniff
Female_likely/Mouse061_20160526_18-38-49/Manual_Scoring_annotator_multi4_v1.csv,Female_likely/Mouse061_20160526_18-38-49,Female_likely,Mouse061_20160526_18-38-49,annotator4,v1,18646,mount|sniff
Female_likely/Mouse061_20160526_18-38-49/Manual_Scoring_annotator_multi5_v1.csv,Female_likely/Mouse061_20160526_18-38-49,Female_likely,Mouse061_20160526_18-38-49,annotator5,v1,18646,attack|mount|sniff
