behavior,n_true_bouts,n_pred_bouts,tp,fp,fn,bout_precision,bout_recall,bout_f1,mean_matched_iou,record_key,mouse_record,sex_group,version,annotator_a,annotator_b
0,26,26,25,1,1,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9726730911072553,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator2
1,25,25,24,1,1,0.96,0.96,0.96,0.9103139407048119,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator2
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator2
annotator_multi2,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator2
0,26,33,26,7,0,0.7878787878787878,1.0,0.8813559322033898,0.9736085887487569,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator3
1,25,32,22,10,3,0.6875,0.88,0.7719298245614036,0.8734604454543967,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator3
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator3
annotator_multi3,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator3
0,26,46,25,21,1,0.5434782608695652,0.9615384615384616,0.6944444444444445,0.9302220561063481,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator4
1,25,45,23,22,2,0.5111111111111111,0.92,0.6571428571428571,0.8786865814828184,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator4
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator4
annotator_multi4,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator4
0,26,5,2,3,24,0.4,0.07692307692307693,0.12903225806451613,0.5809152322636087,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator5
1,25,4,0,4,25,0.0,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator5
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator5
annotator_multi5,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator5
0,26,30,26,4,0,0.8666666666666667,1.0,0.9285714285714286,0.9482969750904366,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator6
1,25,29,25,4,0,0.8620689655172413,1.0,0.9259259259259259,0.9201683586588213,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator6
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator6
annotator_multi6,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator6
0,26,18,17,1,9,0.9444444444444444,0.6538461538461539,0.7727272727272727,0.8960012011173928,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator7
1,25,17,16,1,9,0.9411764705882353,0.64,0.7619047619047621,0.9199784676310078,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator7
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator7
annotator_multi7,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator7
0,26,23,22,1,4,0.9565217391304348,0.8461538461538461,0.8979591836734695,0.8785465257492384,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator8
