annotator_a,annotator_b,n_shared_record_versions,total_frames_compared,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,cohen_kappa_mean,mcc_mean,ari_mean,nmi_mean
annotator1,annotator2,12,227288,0.9359922541744194,0.8915426679121471,0.8601791036448633,0.869331546261,0.8709313827134416,0.8252743827749467,0.7212765620003686
annotator1,annotator3,12,227288,0.9178954098127846,0.8293433051444302,0.845978714481025,0.8247260606331185,0.8295976977702978,0.7609461485108531,0.6649559222222192
annotator1,annotator4,12,227288,0.9262865642653595,0.8628546116120441,0.8504828144231292,0.8472158251222428,0.849136688703405,0.7952247579333188,0.6850753378958757
annotator1,annotator5,12,227288,0.9278815217544804,0.8453901866155523,0.7281514688697742,0.8477342959592921,0.8504530745125917,0.8050405091198578,0.6974768748486467
annotator1,annotator6,12,227288,0.9241094870226106,0.8595085992355928,0.7852292505206858,0.844560414125875,0.8471238382572359,0.7925257031176934,0.6879039368066405
annotator1,annotator7,12,227288,0.8824016623415791,0.7447138613715679,0.7468172931083771,0.7523606910972487,0.7605723223194695,0.6760921262299213,0.5762327045846927
annotator1,annotator8,12,227288,0.8723237105517638,0.7574908309722602,0.7672444321741296,0.7253533825588505,0.7342548714683668,0.6554373492323816,0.5438330504972086
annotator2,annotator3,12,227288,0.9262153018789347,0.830942863895563,0.8586028368090427,0.8426224688651502,0.8470345775857764,0.7840862570812258,0.6861337929861616
annotator2,annotator4,12,227288,0.9353048274317448,0.8606305926543683,0.8621210627858398,0.8638789111285575,0.8667592790919311,0.8206307320840693,0.7171120341874802
annotator2,annotator5,12,227288,0.9302468631690499,0.8414088853817385,0.7212121889395813,0.8521307685354027,0.8546262077890914,0.8173326502235504,0.70620430934061
annotator2,annotator6,12,227288,0.9315158937064064,0.8577752436669495,0.8077496481845433,0.8582900694219507,0.8597200089660376,0.8201079268010809,0.7085551253147017
annotator2,annotator7,12,227288,0.890222544484494,0.7481338869669414,0.7588301631662021,0.7670186441757963,0.7741029734770658,0.6960825765770755,0.5891140224356203
annotator2,annotator8,12,227288,0.8783943458576301,0.7585281495585509,0.7804773121451466,0.7387932194501675,0.7464835743629364,0.6665432907313064,0.553756976232506
annotator3,annotator4,12,227288,0.9265355365812655,0.9025077485377714,0.8659508872928416,0.8393418976046121,0.8424976800287357,0.7800323265614103,0.6716647766049849
annotator3,annotator5,12,227288,0.9253250739052188,0.8759659296798615,0.7266902549100186,0.8331928360085717,0.8343903842174941,0.7867606249550603,0.6596025167448332
annotator3,annotator6,12,227288,0.9183822834832646,0.8990001590555488,0.7943758042234074,0.8258414255656493,0.8314028946612991,0.7648150879940258,0.668429355669343
annotator3,annotator7,12,227288,0.8959864600583458,0.7773174626541636,0.7720630807725847,0.7675903698851401,0.7718804456386935,0.6916057252602021,0.5712267395951516
annotator3,annotator8,12,227288,0.887489627567799,0.8016313397276029,0.8012619952070105,0.7437275911206389,0.745352149642459,0.6695325519505287,0.5292066222783239
annotator4,annotator5,12,227288,0.9235978138891813,0.8430597219463157,0.7124033527854934,0.8360021145002295,0.8389563831572557,0.8003137511195112,0.6847240989385314
annotator4,annotator6,12,227288,0.9256805400767601,0.8930334467112148,0.8130838121344399,0.8442119568163885,0.8489355036047672,0.7938714800585762,0.6938853723026531
annotator4,annotator7,12,227288,0.8901091980227164,0.76312655778338,0.771608922042537,0.7641576220953885,0.7692049432696146,0.6813913222980529,0.5707611263737383
annotator4,annotator8,12,227288,0.8716435422241745,0.7542685267621456,0.7725600748391379,0.7181957715282333,0.7244709367721781,0.6434192154300102,0.5248268706157345
annotator5,annotator6,12,227288,0.9201940465762642,0.7415305770401601,0.6762108565173547,0.8306693303521192,0.8334858295259071,0.7895418751624823,0.6806462130451919
annotator5,annotator7,12,227288,0.8847964739926472,0.6353983451671226,0.6321636422592558,0.7489011988374165,0.754568982370781,0.6811581362088118,0.5588025179251784
annotator5,annotator8,12,227288,0.8840309236442837,0.6707779041869376,0.6718644874501324,0.7430793751984801,0.7465327933450226,0.6770747332017714,0.5424167099397231
annotator6,annotator7,12,227288,0.8793588342727027,0.704454810074899,0.7060771351106943,0.7439996072870708,0.7532523338685744,0.6679095533636813,0.5704439816403739
annotator6,annotator8,12,227288,0.872618241077344,0.7093164431356009,0.7233856939581376,0.7217683665918359,0.7303623379542041,0.6499924072292891,0.5408402275525868
annotator7,annotator8,12,227288,0.8980392434353476,0.8394482972604456,0.7729740007115461,0.769257043767669,0.7740283257276013,0.7028107066588242,0.5705279220170613
